Ref_Date,GEO,GROUP,Vector,Coordinate,Value
2006/2007,Canada,Education,v62427452,1.1,11818.00000000
2007/2008,Canada,Education,v62427452,1.1,12245.00000000
2008/2009,Canada,Education,v62427452,1.1,12717.00000000
2009/2010,Canada,Education,v62427452,1.1,12779.00000000
2010/2011,Canada,Education,v62427452,1.1,13219.00000000
2011/2012,Canada,Education,v62427452,1.1,13550.00000000
2012/2013,Canada,Education,v62427452,1.1,14133.00000000
2013/2014,Canada,Education,v62427452,1.1,14998.00000000
2014/2015,Canada,Education,v62427452,1.1,15703.00000000
2015/2016,Canada,Education,v62427452,1.1,16712.00000000
2016/2017,Canada,Education,v62427452,1.1,17337.00000000
2006/2007,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,12784.00000000
2007/2008,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,13701.00000000
2008/2009,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,14030.00000000
2009/2010,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,14847.00000000
2010/2011,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,15587.00000000
2011/2012,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,15098.00000000
2012/2013,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,16677.00000000
2013/2014,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,18237.00000000
2014/2015,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,18388.00000000
2015/2016,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,19766.00000000
2016/2017,Canada,"Visual and performing arts, and communications technologies",v62427461,1.2,20571.00000000
2006/2007,Canada,Humanities,v62427462,1.3,13313.00000000
2007/2008,Canada,Humanities,v62427462,1.3,13494.00000000
2008/2009,Canada,Humanities,v62427462,1.3,14212.00000000
2009/2010,Canada,Humanities,v62427462,1.3,15071.00000000
2010/2011,Canada,Humanities,v62427462,1.3,15900.00000000
2011/2012,Canada,Humanities,v62427462,1.3,16537.00000000
2012/2013,Canada,Humanities,v62427462,1.3,17282.00000000
2013/2014,Canada,Humanities,v62427462,1.3,18332.00000000
2014/2015,Canada,Humanities,v62427462,1.3,19300.00000000
2015/2016,Canada,Humanities,v62427462,1.3,21021.00000000
2016/2017,Canada,Humanities,v62427462,1.3,22229.00000000
2006/2007,Canada,Social and behavioural sciences,v62427463,1.4,12614.00000000
2007/2008,Canada,Social and behavioural sciences,v62427463,1.4,13396.00000000
2008/2009,Canada,Social and behavioural sciences,v62427463,1.4,13982.00000000
2009/2010,Canada,Social and behavioural sciences,v62427463,1.4,15014.00000000
2010/2011,Canada,Social and behavioural sciences,v62427463,1.4,15750.00000000
2011/2012,Canada,Social and behavioural sciences,v62427463,1.4,16296.00000000
2012/2013,Canada,Social and behavioural sciences,v62427463,1.4,17033.00000000
2013/2014,Canada,Social and behavioural sciences,v62427463,1.4,17629.00000000
2014/2015,Canada,Social and behavioural sciences,v62427463,1.4,18436.00000000
2015/2016,Canada,Social and behavioural sciences,v62427463,1.4,20644.00000000
2016/2017,Canada,Social and behavioural sciences,v62427463,1.4,21604.00000000
2006/2007,Canada,"Law, legal professions and studies",v62427464,1.5,14690.00000000
2007/2008,Canada,"Law, legal professions and studies",v62427464,1.5,15272.00000000
2008/2009,Canada,"Law, legal professions and studies",v62427464,1.5,16924.00000000
2009/2010,Canada,"Law, legal professions and studies",v62427464,1.5,18924.00000000
2010/2011,Canada,"Law, legal professions and studies",v62427464,1.5,20487.00000000
2011/2012,Canada,"Law, legal professions and studies",v62427464,1.5,22909.00000000
2012/2013,Canada,"Law, legal professions and studies",v62427464,1.5,21793.00000000
2013/2014,Canada,"Law, legal professions and studies",v62427464,1.5,23254.00000000
2014/2015,Canada,"Law, legal professions and studies",v62427464,1.5,25245.00000000
2015/2016,Canada,"Law, legal professions and studies",v62427464,1.5,25864.00000000
2016/2017,Canada,"Law, legal professions and studies",v62427464,1.5,27056.00000000
2006/2007,Canada,"Business, management and public administration",v62427465,1.6,13414.00000000
2007/2008,Canada,"Business, management and public administration",v62427465,1.6,13715.00000000
2008/2009,Canada,"Business, management and public administration",v62427465,1.6,14308.00000000
2009/2010,Canada,"Business, management and public administration",v62427465,1.6,15522.00000000
2010/2011,Canada,"Business, management and public administration",v62427465,1.6,16349.00000000
2011/2012,Canada,"Business, management and public administration",v62427465,1.6,17637.00000000
2012/2013,Canada,"Business, management and public administration",v62427465,1.6,18185.00000000
2013/2014,Canada,"Business, management and public administration",v62427465,1.6,19525.00000000
2014/2015,Canada,"Business, management and public administration",v62427465,1.6,20787.00000000
2015/2016,Canada,"Business, management and public administration",v62427465,1.6,22340.00000000
2016/2017,Canada,"Business, management and public administration",v62427465,1.6,23555.00000000
2006/2007,Canada,Physical and life sciences and technologies,v62427466,1.7,13379.00000000
2007/2008,Canada,Physical and life sciences and technologies,v62427466,1.7,14237.00000000
2008/2009,Canada,Physical and life sciences and technologies,v62427466,1.7,15236.00000000
2009/2010,Canada,Physical and life sciences and technologies,v62427466,1.7,16594.00000000
2010/2011,Canada,Physical and life sciences and technologies,v62427466,1.7,17546.00000000
2011/2012,Canada,Physical and life sciences and technologies,v62427466,1.7,18746.00000000
2012/2013,Canada,Physical and life sciences and technologies,v62427466,1.7,18778.00000000
2013/2014,Canada,Physical and life sciences and technologies,v62427466,1.7,19877.00000000
2014/2015,Canada,Physical and life sciences and technologies,v62427466,1.7,20933.00000000
2015/2016,Canada,Physical and life sciences and technologies,v62427466,1.7,22954.00000000
2016/2017,Canada,Physical and life sciences and technologies,v62427466,1.7,24456.00000000
2006/2007,Canada,"Mathematics, computer and information sciences",v62427467,1.8,13613.00000000
2007/2008,Canada,"Mathematics, computer and information sciences",v62427467,1.8,14583.00000000
2008/2009,Canada,"Mathematics, computer and information sciences",v62427467,1.8,15475.00000000
2009/2010,Canada,"Mathematics, computer and information sciences",v62427467,1.8,16781.00000000
2010/2011,Canada,"Mathematics, computer and information sciences",v62427467,1.8,18459.00000000
2011/2012,Canada,"Mathematics, computer and information sciences",v62427467,1.8,18854.00000000
2012/2013,Canada,"Mathematics, computer and information sciences",v62427467,1.8,19265.00000000
2013/2014,Canada,"Mathematics, computer and information sciences",v62427467,1.8,20284.00000000
2014/2015,Canada,"Mathematics, computer and information sciences",v62427467,1.8,21879.00000000
2015/2016,Canada,"Mathematics, computer and information sciences",v62427467,1.8,23643.00000000
2016/2017,Canada,"Mathematics, computer and information sciences",v62427467,1.8,25273.00000000
2006/2007,Canada,Engineering,v62427468,1.9,14045.00000000
2007/2008,Canada,Engineering,v62427468,1.9,14647.00000000
2008/2009,Canada,Engineering,v62427468,1.9,15587.00000000
2009/2010,Canada,Engineering,v62427468,1.9,17470.00000000
2010/2011,Canada,Engineering,v62427468,1.9,18526.00000000
2011/2012,Canada,Engineering,v62427468,1.9,19526.00000000
2012/2013,Canada,Engineering,v62427468,1.9,20534.00000000
2013/2014,Canada,Engineering,v62427468,1.9,21861.00000000
2014/2015,Canada,Engineering,v62427468,1.9,23443.00000000
2015/2016,Canada,Engineering,v62427468,1.9,25112.00000000
2016/2017,Canada,Engineering,v62427468,1.9,26582.00000000
2006/2007,Canada,Architecture and related technologies,v62427453,1.10,13388.00000000
2007/2008,Canada,Architecture and related technologies,v62427453,1.10,14726.00000000
2008/2009,Canada,Architecture and related technologies,v62427453,1.10,15574.00000000
2009/2010,Canada,Architecture and related technologies,v62427453,1.10,16165.00000000
2010/2011,Canada,Architecture and related technologies,v62427453,1.10,17247.00000000
2011/2012,Canada,Architecture and related technologies,v62427453,1.10,17780.00000000
2012/2013,Canada,Architecture and related technologies,v62427453,1.10,17893.00000000
2013/2014,Canada,Architecture and related technologies,v62427453,1.10,18733.00000000
2014/2015,Canada,Architecture and related technologies,v62427453,1.10,19868.00000000
2015/2016,Canada,Architecture and related technologies,v62427453,1.10,21033.00000000
2016/2017,Canada,Architecture and related technologies,v62427453,1.10,22171.00000000
2006/2007,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,12584.00000000
2007/2008,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,13413.00000000
2008/2009,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,14299.00000000
2009/2010,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,15611.00000000
2010/2011,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,16286.00000000
2011/2012,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,16439.00000000
2012/2013,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,16402.00000000
2013/2014,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,17396.00000000
2014/2015,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,17876.00000000
2015/2016,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,19327.00000000
2016/2017,Canada,"Agriculture, natural resources and conservation",v62427454,1.11,20268.00000000
2007/2008,Canada,Dentistry,v62427455,1.12,38397.00000000
2008/2009,Canada,Dentistry,v62427455,1.12,37826.00000000
2009/2010,Canada,Dentistry,v62427455,1.12,40225.00000000
2010/2011,Canada,Dentistry,v62427455,1.12,40964.00000000
2011/2012,Canada,Dentistry,v62427455,1.12,42057.00000000
2012/2013,Canada,Dentistry,v62427455,1.12,44162.00000000
2013/2014,Canada,Dentistry,v62427455,1.12,47243.00000000
2014/2015,Canada,Dentistry,v62427455,1.12,48990.00000000
2015/2016,Canada,Dentistry,v62427455,1.12,50646.00000000
2016/2017,Canada,Dentistry,v62427455,1.12,53105.00000000
2006/2007,Canada,Medicine,v62427456,1.13,21685.00000000
2007/2008,Canada,Medicine,v62427456,1.13,25173.00000000
2008/2009,Canada,Medicine,v62427456,1.13,32738.00000000
2009/2010,Canada,Medicine,v62427456,1.13,34198.00000000
2010/2011,Canada,Medicine,v62427456,1.13,35422.00000000
2011/2012,Canada,Medicine,v62427456,1.13,35502.00000000
2012/2013,Canada,Medicine,v62427456,1.13,28600.00000000
2013/2014,Canada,Medicine,v62427456,1.13,29407.00000000
2014/2015,Canada,Medicine,v62427456,1.13,29440.00000000
2015/2016,Canada,Medicine,v62427456,1.13,31881.00000000
2016/2017,Canada,Medicine,v62427456,1.13,33084.00000000
2007/2008,Canada,Nursing,v62427457,1.14,13757.00000000
2008/2009,Canada,Nursing,v62427457,1.14,13472.00000000
2009/2010,Canada,Nursing,v62427457,1.14,13747.00000000
2010/2011,Canada,Nursing,v62427457,1.14,14283.00000000
2011/2012,Canada,Nursing,v62427457,1.14,14651.00000000
2012/2013,Canada,Nursing,v62427457,1.14,15584.00000000
2013/2014,Canada,Nursing,v62427457,1.14,16221.00000000
2014/2015,Canada,Nursing,v62427457,1.14,16704.00000000
2015/2016,Canada,Nursing,v62427457,1.14,18152.00000000
2016/2017,Canada,Nursing,v62427457,1.14,18806.00000000
2007/2008,Canada,Pharmacy,v62427458,1.15,12454.00000000
2008/2009,Canada,Pharmacy,v62427458,1.15,20153.00000000
2009/2010,Canada,Pharmacy,v62427458,1.15,21936.00000000
2010/2011,Canada,Pharmacy,v62427458,1.15,20795.00000000
2011/2012,Canada,Pharmacy,v62427458,1.15,27300.00000000
2012/2013,Canada,Pharmacy,v62427458,1.15,29527.00000000
2013/2014,Canada,Pharmacy,v62427458,1.15,30728.00000000
2014/2015,Canada,Pharmacy,v62427458,1.15,33434.00000000
2015/2016,Canada,Pharmacy,v62427458,1.15,30997.00000000
2016/2017,Canada,Pharmacy,v62427458,1.15,32886.00000000
2007/2008,Canada,Veterinary medicine,v62427459,1.16,42219.00000000
2008/2009,Canada,Veterinary medicine,v62427459,1.16,46377.00000000
2009/2010,Canada,Veterinary medicine,v62427459,1.16,47307.00000000
2010/2011,Canada,Veterinary medicine,v62427459,1.16,48262.00000000
2011/2012,Canada,Veterinary medicine,v62427459,1.16,49538.00000000
2012/2013,Canada,Veterinary medicine,v62427459,1.16,50493.00000000
2013/2014,Canada,Veterinary medicine,v62427459,1.16,51332.00000000
2014/2015,Canada,Veterinary medicine,v62427459,1.16,51815.00000000
2015/2016,Canada,Veterinary medicine,v62427459,1.16,54326.00000000
2016/2017,Canada,Veterinary medicine,v62427459,1.16,58629.00000000
2006/2007,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,14473.00000000
2007/2008,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,14028.00000000
2008/2009,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,14361.00000000
2009/2010,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,14950.00000000
2010/2011,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,15683.00000000
2011/2012,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,16069.00000000
2012/2013,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,16882.00000000
2013/2014,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,16966.00000000
2014/2015,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,17767.00000000
2015/2016,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,19269.00000000
2016/2017,Canada,"Other health, parks, recreation and fitness",v62427460,1.17,20117.00000000
2006/2007,Newfoundland and Labrador,Education,v62427496,2.1,8780.00000000
2007/2008,Newfoundland and Labrador,Education,v62427496,2.1,8800.00000000
2008/2008,Newfoundland and Labrador,Education,v62427496,2.1,..
2009/2010,Newfoundland and Labrador,Education,v62427496,2.1,..
2010/2011,Newfoundland and Labrador,Education,v62427496,2.1,..
2011/2012,Newfoundland and Labrador,Education,v62427496,2.1,..
2012/2013,Newfoundland and Labrador,Education,v62427496,2.1,8800.00000000
2013/2014,Newfoundland and Labrador,Education,v62427496,2.1,8800.00000000
2014/2015,Newfoundland and Labrador,Education,v62427496,2.1,8800.00000000
2015/2016,Newfoundland and Labrador,Education,v62427496,2.1,9680.00000000
2016/2017,Newfoundland and Labrador,Education,v62427496,2.1,9680.00000000
2006/2007,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8780.00000000
2007/2008,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2008/2009,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2009/2010,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2010/2011,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2011/2012,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2012/2013,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2013/2014,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2014/2015,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2015/2016,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2016/2017,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",v62427501,2.2,8800.00000000
2006/2007,Newfoundland and Labrador,Humanities,v62427502,2.3,8780.00000000
2007/2008,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2008/2009,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2009/2010,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2010/2011,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2011/2012,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2012/2013,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2013/2014,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2014/2015,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2015/2016,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2016/2017,Newfoundland and Labrador,Humanities,v62427502,2.3,8800.00000000
2006/2007,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8780.00000000
2007/2008,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2008/2009,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2009/2010,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2010/2011,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2011/2012,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2012/2013,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2013/2014,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2014/2015,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2015/2016,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2016/2017,Newfoundland and Labrador,Social and behavioural sciences,v62427503,2.4,8800.00000000
2006/2007,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8780.00000000
2007/2008,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2008/2009,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2009/2010,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2010/2011,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2011/2012,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2012/2013,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2013/2014,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2014/2015,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,8800.00000000
2015/2016,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,9680.00000000
2016/2017,Newfoundland and Labrador,"Business, management and public administration",v62427504,2.6,9680.00000000
2006/2007,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8780.00000000
2007/2008,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2008/2009,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2009/2010,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2010/2011,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2011/2012,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2012/2013,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2013/2014,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2014/2015,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2015/2016,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2016/2017,Newfoundland and Labrador,Physical and life sciences and technologies,v62427505,2.7,8800.00000000
2006/2007,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8780.00000000
2007/2008,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2008/2009,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2009/2010,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2010/2011,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2011/2012,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2012/2013,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2013/2014,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2014/2015,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2015/2016,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2016/2017,Newfoundland and Labrador,"Mathematics, computer and information sciences",v62427506,2.8,8800.00000000
2006/2007,Newfoundland and Labrador,Engineering,v62427507,2.9,8780.00000000
2007/2008,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2008/2009,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2009/2010,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2010/2011,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2011/2012,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2012/2013,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2013/2014,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2014/2015,Newfoundland and Labrador,Engineering,v62427507,2.9,8800.00000000
2015/2016,Newfoundland and Labrador,Engineering,v62427507,2.9,9680.00000000
2016/2017,Newfoundland and Labrador,Engineering,v62427507,2.9,9680.00000000
2006/2007,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2007/2008,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2008/2009,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2009/2010,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2010/2011,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2011/2012,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2012/2013,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2013/2014,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2014/2015,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2015/2016,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2016/2017,Newfoundland and Labrador,Medicine,v62427497,2.13,30000.00000000
2007/2008,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2008/2009,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2009/2010,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2010/2011,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2011/2012,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2012/2013,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2013/2014,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2014/2015,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2015/2016,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2016/2017,Newfoundland and Labrador,Nursing,v62427498,2.14,8800.00000000
2007/2008,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2008/2009,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2009/2010,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2010/2011,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2011/2012,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2012/2013,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2013/2014,Newfoundland and Labrador,Pharmacy,v62427499,2.15,8800.00000000
2014/2014,Newfoundland and Labrador,Pharmacy,v62427499,2.15,..
2015/2015,Newfoundland and Labrador,Pharmacy,v62427499,2.15,..
2016/2016,Newfoundland and Labrador,Pharmacy,v62427499,2.15,..
2006/2007,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8780.00000000
2007/2008,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2008/2009,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2009/2010,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2010/2011,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2011/2012,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2012/2013,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2013/2014,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2014/2015,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,8800.00000000
2015/2015,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,..
2016/2016,Newfoundland and Labrador,"Other health, parks, recreation and fitness",v62427500,2.17,..
2006/2007,Prince Edward Island,Education,v62427508,3.1,8970.00000000
2007/2008,Prince Edward Island,Education,v62427508,3.1,..
2008/2008,Prince Edward Island,Education,v62427508,3.1,..
2009/2010,Prince Edward Island,Education,v62427508,3.1,..
2010/2011,Prince Edward Island,Education,v62427508,3.1,..
2011/2012,Prince Edward Island,Education,v62427508,3.1,..
2012/2013,Prince Edward Island,Education,v62427508,3.1,11150.00000000
2013/2014,Prince Edward Island,Education,v62427508,3.1,11600.00000000
2014/2014,Prince Edward Island,Education,v62427508,3.1,..
2015/2016,Prince Edward Island,Education,v62427508,3.1,14073.00000000
2016/2017,Prince Edward Island,Education,v62427508,3.1,14421.00000000
2006/2007,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,8970.00000000
2007/2008,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,8760.00000000
2008/2008,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2009/2010,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2010/2011,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2011/2012,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2012/2012,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2013/2013,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2014/2014,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,..
2015/2016,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,12312.00000000
2016/2017,Prince Edward Island,"Visual and performing arts, and communications technologies",v62427512,3.2,12682.00000000
2008/2009,Prince Edward Island,Humanities,v62427513,3.3,8940.00000000
2009/2010,Prince Edward Island,Humanities,v62427513,3.3,9884.00000000
2010/2011,Prince Edward Island,Humanities,v62427513,3.3,10034.00000000
2011/2012,Prince Edward Island,Humanities,v62427513,3.3,10624.00000000
2012/2013,Prince Edward Island,Humanities,v62427513,3.3,11150.00000000
2013/2014,Prince Edward Island,Humanities,v62427513,3.3,11600.00000000
2014/2015,Prince Edward Island,Humanities,v62427513,3.3,11948.00000000
2015/2016,Prince Edward Island,Humanities,v62427513,3.3,12312.00000000
2016/2017,Prince Edward Island,Humanities,v62427513,3.3,12682.00000000
2006/2007,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,8970.00000000
2007/2008,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,8760.00000000
2008/2009,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,8940.00000000
2009/2010,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,9884.00000000
2010/2011,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,10034.00000000
2011/2012,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,10624.00000000
2012/2013,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,11150.00000000
2013/2014,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,11600.00000000
2014/2015,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,11948.00000000
2015/2016,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,12312.00000000
2016/2017,Prince Edward Island,Social and behavioural sciences,v62427514,3.4,12682.00000000
2006/2007,Prince Edward Island,"Business, management and public administration",v62427515,3.6,8970.00000000
2007/2008,Prince Edward Island,"Business, management and public administration",v62427515,3.6,8760.00000000
2008/2009,Prince Edward Island,"Business, management and public administration",v62427515,3.6,8940.00000000
2009/2010,Prince Edward Island,"Business, management and public administration",v62427515,3.6,9884.00000000
2010/2011,Prince Edward Island,"Business, management and public administration",v62427515,3.6,10034.00000000
